App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Compound,Avg_Positive,Avg_Neutral,Avg_Negative,Positive_Count,Neutral_Count,Negative_Count,Total_Reviews
Goal Live Scores,SPORTS,4.4,232423,35.0,5000000,Free,0.0,Everyone,Sports,"June 11, 2018",4.2.2,4.0.3 and up,0.2220075,0.19772499999999998,0.705575,0.096725,24.0,6.0,10.0,40.0
The 5th Stand,SPORTS,4.8,1664,17.0,100000,Free,0.0,Everyone,Sports,"July 31, 2018",1.2.677,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U + professional baseball,SPORTS,4.3,2486,18.0,500000,Free,0.0,Everyone,Sports,"July 30, 2018",06.11.00,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercato foot by Maxifoot,SPORTS,4.4,697,3.0,100000,Free,0.0,Everyone,Sports,"March 16, 2017",1.1,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLB Ballpark,SPORTS,3.9,5510,32.0,1000000,Free,0.0,Everyone,Sports,"July 16, 2018",7.3.0,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTV - Manchester United TV,SPORTS,4.4,4549,24.0,500000,Free,0.0,Everyone,Sports,"August 1, 2018",2.4.0,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WatchESPN,SPORTS,4.1,288809,6.6,10000000,Free,0.0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBS Sports Fantasy,SPORTS,4.0,43611,27.0,1000000,Free,0.0,Everyone,Sports,"June 27, 2018",3.17.0+3,5.0 and up,0.26208148148148147,0.402037037037037,0.5112592592592593,0.08670370370370371,34.0,9.0,11.0,54.0
NBC Sports,SPORTS,3.1,78442,25.0,5000000,Free,0.0,Everyone,Sports,"June 22, 2018",5.12.4,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBC Sports Gold,SPORTS,2.9,3017,24.0,100000,Free,0.0,Everyone,Sports,"July 2, 2018",3.7,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telemundo Deportes - Live,SPORTS,4.5,36255,25.0,1000000,Free,0.0,Everyone,Sports,"August 1, 2018",5.10.5,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SwingAid - Level up Golf,SPORTS,4.3,752,33.0,100000,Free,0.0,Everyone,Sports,"July 10, 2018",2.6.3,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golf Channel,SPORTS,4.1,19230,88.0,1000000,Free,0.0,Everyone,Sports,"May 30, 2018",4.5.19.56,4.1 and up,-0.075235,0.1065,0.748975,0.144525,12.0,9.0,19.0,40.0
The Rules of Golf,SPORTS,4.3,926,9.3,100000,Free,0.0,Everyone,Sports,"January 17, 2018",5.9,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zepp Golf Swing Analyzer,SPORTS,4.4,2020,84.0,100000,Free,0.0,Everyone,Sports,"May 24, 2018",4.4.0,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Live Golf Scores - US & European Golf,SPORTS,4.2,798,4.7,50000,Free,0.0,Everyone 10+,Sports,"August 1, 2018",3.5,4.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,25.0,500000,Free,0.0,Everyone,Sports,"July 11, 2018",1.31.0,4.1 and up,0.5274075,0.433825,0.546,0.0202,70.0,8.0,2.0,80.0
PGA TOUR LIVE,SPORTS,3.4,1845,12.0,100000,Free,0.0,Everyone,Sports,"June 7, 2017",1.3.0,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mobitee GPS Golf Free,SPORTS,4.2,1904,9.9,100000,Free,0.0,Everyone,Sports,"June 11, 2018",2.0.22,2.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GolfLogix GPS + Putt Breaks,SPORTS,4.0,11085,61.0,1000000,Free,0.0,Everyone,Sports,"June 21, 2018",8.9.3,4.0.3 and up,-0.037092307692307695,0.10192307692307692,0.7737435897435897,0.12423076923076923,11.0,14.0,14.0,39.0
Golfshot Plus: Golf GPS,SPORTS,4.1,3387,25.0,50000,Paid,29.99,Everyone,Sports,"July 11, 2018",4.18.0,4.1 and up,0.5158050000000001,0.38885000000000003,0.5742,0.03695,32.0,4.0,4.0,40.0
PGA TOUR,SPORTS,4.0,11151,52.0,1000000,Free,0.0,Everyone,Sports,"June 27, 2018",2018.6,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FanDuel: Daily Fantasy Sports,SPORTS,4.6,29673,57.0,1000000,Free,0.0,Mature 17+,Sports,"August 6, 2018",2.46.1,5.0 and up,0.5545363636363636,0.39654545454545453,0.586,0.017454545454545455,8.0,2.0,1.0,11.0
DraftKings - Daily Fantasy Sports,SPORTS,4.5,50017,41.0,1000000,Free,0.0,Adults only 18+,Sports,"July 24, 2018",3.21.324,4.4 and up,0.4891111111111111,0.5311944444444445,0.4169722222222222,0.051833333333333335,28.0,4.0,4.0,36.0
Fantasy Football Manager (FPL),SPORTS,4.4,63650,4.6,1000000,Free,0.0,Everyone,Sports,"August 3, 2018",7.0.2,4.1 and up,0.40961176470588234,0.4334705882352941,0.4993529411764706,0.0671470588235294,28.0,3.0,3.0,34.0
Fantasy Football,SPORTS,3.5,50179,23.0,1000000,Free,0.0,Everyone,Sports,"August 2, 2018",2.5.7.1,5.0 and up,0.06884927536231883,0.17,0.7138115942028985,0.11620289855072465,32.0,16.0,21.0,69.0
US Open Tennis Championships 2018,SPORTS,4.0,9971,33.0,1000000,Free,0.0,Everyone,Sports,"June 5, 2018",7.1,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Live Tennis Rankings / LTR,SPORTS,4.8,1660,4.7,10000,Free,0.0,Everyone,Sports,"June 5, 2018",3.9,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennis Livescore Widget,SPORTS,4.1,361,2.2,50000,Free,0.0,Everyone,Sports,"October 13, 2016",1.0,2.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Championships, Wimbledon 2018",SPORTS,4.3,24082,95.0,1000000,Free,0.0,Everyone,Sports,"July 4, 2018",6.5,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennis 24 - tennis live scores,SPORTS,4.6,990,9.4,100000,Free,0.0,Everyone,Sports,"July 18, 2018",2.28.1,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19.0,1000000,Free,0.0,Everyone,Sports,"August 1, 2018",7.8.0,5.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennis News and Scores,SPORTS,4.3,101,3.9,10000,Free,0.0,Everyone,Sports,"July 15, 2018",5.4,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSN Sports - Scores & Schedule,SPORTS,4.5,35394,21.0,500000,Free,0.0,Everyone,Sports,"July 5, 2018",1.2.0,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,82.0,5000000,Free,0.0,Teen,Sports,"August 2, 2018",4.4.15,5.0 and up,0.3561484848484849,0.402969696969697,0.5497575757575758,0.04727272727272727,20.0,8.0,5.0,33.0
NCAA March Madness Live,SPORTS,4.1,34123,19.0,5000000,Free,0.0,Everyone,Sports,"March 30, 2018",7.1.0,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SportsManias Fantasy Team News,SPORTS,3.5,4057,26.0,500000,Free,0.0,Everyone,Sports,"May 10, 2018",3.2.12,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thuuz Sports,SPORTS,4.5,5517,5.2,500000,Free,0.0,Everyone,Sports,"April 3, 2018",6.9.12,2.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCAA Sports,SPORTS,3.9,4272,16.0,500000,Free,0.0,Everyone,Sports,"April 23, 2018",3.0.13,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365Scores - Live Scores,SPORTS,4.6,666521,25.0,10000000,Free,0.0,Everyone,Sports,"July 29, 2018",5.5.9,4.1 and up,0.47324285714285713,0.4417142857142857,0.5325714285714286,0.025714285714285714,6.0,0.0,1.0,7.0
Fantasy Football & NFL News,SPORTS,4.5,2943,8.1,100000,Free,0.0,Everyone,Sports,"May 15, 2018",6.1.3,2.3.3 and up,0.6026411764705882,0.3660882352941176,0.604764705882353,0.029176470588235293,29.0,4.0,1.0,34.0
NBA,SPORTS,4.4,108318,35.0,10000000,Free,0.0,Everyone,Sports,"July 9, 2018",2017.7.1,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHL,SPORTS,4.0,68935,48.0,5000000,Free,0.0,Everyone,Sports,"June 27, 2018",9.4.0,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NASCAR MOBILE,SPORTS,4.2,80900,21.0,1000000,Free,0.0,Everyone,Sports,"July 25, 2018",7.1.7.4,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,0.11039921875,0.199078125,0.683734375,0.117140625,64.0,11.0,53.0,128.0
TripIt: Travel Organizer,TRAVEL_AND_LOCAL,4.4,49190,25.0,1000000,Free,0.0,Everyone,Travel & Local,"June 15, 2018",7.5.0,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,4.3,64713,58.0,1000000,Free,0.0,Everyone,Travel & Local,"June 9, 2018",10.9.8 (Play),5.0 and up,0.49144,0.32484999999999997,0.6165499999999999,0.058625000000000003,33.0,5.0,2.0,40.0
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19.0,10000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skyscanner,TRAVEL_AND_LOCAL,4.5,481545,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World Travel Guide by Triposo,TRAVEL_AND_LOCAL,4.4,6012,81.0,500000,Free,0.0,Everyone,Travel & Local,"March 5, 2018",4.6.0,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28.0,1000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up,0.45411538461538464,0.38761538461538464,0.5324153846153846,0.07993846153846153,50.0,5.0,10.0,65.0
GPS Map Free,TRAVEL_AND_LOCAL,4.0,33782,7.6,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",4.6,4.0 and up,0.4404,0.744,0.256,0.0,1.0,0.0,0.0,1.0
Offline Maps & Navigation,TRAVEL_AND_LOCAL,4.7,192641,33.0,5000000,Free,0.0,Everyone,Travel & Local,"June 7, 2018",17.4.1,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GasBuddy: Find Cheap Gas,TRAVEL_AND_LOCAL,4.6,751551,42.0,10000000,Free,0.0,Mature 17+,Travel & Local,"August 2, 2018",5.2.0 21127,4.4 and up,0.3406075,0.23595000000000002,0.697575,0.06655,26.0,7.0,7.0,40.0
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",5.6.1,6.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AT&T Navigator: Maps, Traffic",TRAVEL_AND_LOCAL,3.6,32862,14.0,10000000,Free,0.0,Everyone,Travel & Local,"December 6, 2016",5.10.6.2.8466393,4.1 and up,0.2794379310344828,0.222,0.6442068965517241,0.1337241379310345,20.0,2.0,7.0,29.0
AirAsia,TRAVEL_AND_LOCAL,3.9,98585,37.0,10000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",5.0.4,4.4 and up,-0.12116666666666667,0.12366666666666666,0.6853333333333333,0.1910952380952381,8.0,2.0,11.0,21.0
Allegiant,TRAVEL_AND_LOCAL,3.1,5572,21.0,1000000,Free,0.0,Everyone,Travel & Local,"July 12, 2018",5.16.1,4.4 and up,0.28683333333333333,0.3343333333333333,0.6656666666666666,0.0,2.0,1.0,0.0,3.0
Amtrak,TRAVEL_AND_LOCAL,3.7,16815,28.0,1000000,Free,0.0,Everyone,Travel & Local,"July 15, 2018",3.1.3,5.0 and up,-0.0020897435897435875,0.1226923076923077,0.746897435897436,0.13038461538461538,12.0,11.0,16.0,39.0
JAL (Domestic and international flights),TRAVEL_AND_LOCAL,3.4,2277,27.0,1000000,Free,0.0,Everyone,Travel & Local,"May 7, 2018",4.4.7,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ Navigator for Tablets,TRAVEL_AND_LOCAL,3.6,285,39.0,500000,Free,0.0,Everyone,Travel & Local,"January 22, 2018",10.7.8.111,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HSL - Tickets, route planner and information",TRAVEL_AND_LOCAL,3.3,256,17.0,100000,Free,0.0,Everyone,Travel & Local,"August 1, 2018",1.1.2,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,3.0,2750,39.0,5000000,Free,0.0,Everyone,Travel & Local,"January 22, 2018",10.7.8.111,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAIN,TRAVEL_AND_LOCAL,3.6,7081,51.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",4.1.21,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",TRAVEL_AND_LOCAL,4.8,17882,86.0,1000000,Free,0.0,Everyone,Travel & Local,"August 3, 2018",3.4.5,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yatra - Flights, Hotels, Bus, Trains & Cabs",TRAVEL_AND_LOCAL,4.5,251037,26.0,10000000,Free,0.0,Everyone,Travel & Local,"August 5, 2018",13.0.16,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,0.2875338028169014,0.2122112676056338,0.7062957746478873,0.08149295774647887,43.0,6.0,22.0,71.0
Despegar.com Hotels and Flights,TRAVEL_AND_LOCAL,4.4,150932,27.0,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",9.1.0,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navigation Plus,TRAVEL_AND_LOCAL,4.1,928,14.0,1000000,Free,0.0,Everyone,Travel & Local,"January 9, 2018",11.0.269 (m),4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poynt,TRAVEL_AND_LOCAL,4.0,26665,10.0,5000000,Free,0.0,Everyone,Travel & Local,"March 29, 2018",2.5.26,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaode Map,TRAVEL_AND_LOCAL,3.9,13275,71.0,1000000,Free,0.0,Everyone,Travel & Local,"July 3, 2018",8.60.0.2586,4.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930,15.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",4.38.176,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Radar Detector,TRAVEL_AND_LOCAL,4.3,15680,11.0,1000000,Free,0.0,Everyone,Travel & Local,"July 6, 2018",6.2.3,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where to travel - ticket. hotel. train ticket. car ticket. travel. tickets,TRAVEL_AND_LOCAL,4.2,5112,62.0,1000000,Free,0.0,Everyone,Travel & Local,"July 27, 2018",8.8.2,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80.0,5000000,Free,0.0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTES,TRAVEL_AND_LOCAL,4.3,165299,5.4,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",8.0,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is my Train : Indian Railway & PNR Status,TRAVEL_AND_LOCAL,4.7,620534,9.8,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",5.7.3,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gormey: Find Best Restaurants,TRAVEL_AND_LOCAL,4.3,34,7.6,1000,Free,0.0,Everyone,Travel & Local,"August 29, 2017",2.3,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Find Dining Restaurant Finder,TRAVEL_AND_LOCAL,4.1,427,26.0,100000,Free,0.0,Everyone,Travel & Local,"March 21, 2016",1.2.1,4.1 and up,0.6315428571428571,0.36428571428571427,0.5931428571428572,0.04257142857142857,6.0,0.0,1.0,7.0
Urbanspoon Restaurant Reviews,TRAVEL_AND_LOCAL,4.2,35560,13.0,5000000,Free,0.0,Everyone,Travel & Local,"July 5, 2016",4.0.21,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar Airways,TRAVEL_AND_LOCAL,4.3,11182,62.0,1000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",11.26,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hipmunk Hotels & Flights,TRAVEL_AND_LOCAL,4.3,16734,10.0,1000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",8.8.2,5.0 and up,0.5586514285714286,0.5922285714285714,0.37985714285714284,0.027914285714285714,29.0,5.0,1.0,35.0
CWT To Go,TRAVEL_AND_LOCAL,4.4,20313,57.0,100000,Free,0.0,Everyone,Travel & Local,"August 5, 2018",17.7.8,4.4 and up,0.3880078947368421,0.35286842105263155,0.5796842105263158,0.06739473684210526,27.0,5.0,6.0,38.0
British Airways,TRAVEL_AND_LOCAL,4.2,25740,51.0,1000000,Free,0.0,Everyone,Travel & Local,"July 24, 2018",4.20,4.4 and up,0.1234,0.3252727272727273,0.5198181818181818,0.15486363636363637,12.0,3.0,7.0,22.0
Cheap Flights & Hotels momondo,TRAVEL_AND_LOCAL,4.2,42546,24.0,5000000,Free,0.0,Everyone,Travel & Local,"April 25, 2018",7.6.5,4.4 and up,0.25073589743589747,0.3628974358974359,0.5603846153846154,0.0766923076923077,25.0,6.0,8.0,39.0
JetBlue,TRAVEL_AND_LOCAL,4.4,24281,29.0,1000000,Free,0.0,Everyone,Travel & Local,"July 25, 2018",4.4.2,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flights,TRAVEL_AND_LOCAL,4.4,18039,3.1,1000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",3.6.6,4.1 and up,0.05796153846153847,0.2549230769230769,0.6449230769230769,0.10015384615384616,12.0,7.0,7.0,26.0
The Emirates App,TRAVEL_AND_LOCAL,4.4,22748,55.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",4.7.1,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47780,19.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,0.43989743589743585,0.5548974358974359,0.4044871794871795,0.040615384615384616,32.0,5.0,2.0,39.0
KLM - Royal Dutch Airlines,TRAVEL_AND_LOCAL,3.7,7705,40.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",9.7.1,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lufthansa,TRAVEL_AND_LOCAL,3.6,14544,43.0,1000000,Free,0.0,Everyone,Travel & Local,"July 27, 2018",7.2.5,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
easyJet: Travel App,TRAVEL_AND_LOCAL,4.4,134895,50.0,10000000,Free,0.0,Everyone,Travel & Local,"July 1, 2018",2.32.2,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LateRooms: Find Hotel Deals,TRAVEL_AND_LOCAL,4.1,2419,13.0,1000000,Free,0.0,Everyone,Travel & Local,"May 29, 2018",1.24.5,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOTEL DEALS,TRAVEL_AND_LOCAL,4.2,1609,4.0,100000,Free,0.0,Everyone,Travel & Local,"April 26, 2018",53.89.55,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHG®: Hotel Deals & Rewards,TRAVEL_AND_LOCAL,4.3,18622,44.0,1000000,Free,0.0,Everyone,Travel & Local,"August 3, 2018",4.15.1,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPG: Starwood Hotels & Resorts,TRAVEL_AND_LOCAL,4.2,8258,22.0,1000000,Free,0.0,Everyone,Travel & Local,"July 3, 2018",v5.4.3,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,4.1,17202,12.0,5000000,Free,0.0,Everyone,Travel & Local,"November 13, 2017",4.9.2,4.1 and up,0.14291666666666666,0.27119444444444446,0.5847777777777777,0.14400000000000002,17.0,9.0,10.0,36.0
Turo - Better Than Car Rental,TRAVEL_AND_LOCAL,4.4,14114,46.0,1000000,Free,0.0,Everyone,Travel & Local,"August 4, 2018",18.21.0,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,4.1,890,7.6,100000,Free,0.0,Everyone,Travel & Local;Action & Adventure,"August 9, 2017",4.0.38,4.4 and up,0.20768333333333333,0.20366666666666666,0.6887777777777777,0.10755555555555556,9.0,5.0,4.0,18.0
GPS Status & Toolbox,TRAVEL_AND_LOCAL,4.5,149723,4.1,10000000,Free,0.0,Everyone,Travel & Local,"June 13, 2018",8.1.171,4.0 and up,0.3982,0.4864285714285714,0.43648571428571425,0.0771142857142857,27.0,3.0,5.0,35.0
Airport + Flight Tracker Radar,TRAVEL_AND_LOCAL,4.2,6762,8.5,1000000,Free,0.0,Everyone,Travel & Local,"July 14, 2015",8.0,4.0 and up,0.1882818181818182,0.1845,0.7069090909090909,0.10859090909090909,13.0,3.0,6.0,22.0
Scout GPS Navigation & Meet Up,TRAVEL_AND_LOCAL,4.2,120373,31.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",3.19.35.999,4.0.3 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Street Panorama View,TRAVEL_AND_LOCAL,4.2,40225,4.1,1000000,Free,0.0,Everyone,Travel & Local,"July 18, 2018",4.0.3,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22.0,500000,Free,0.0,Teen,Travel & Local,"August 6, 2018",1.28.1,5.0 and up,0.33700294117647056,0.3900588235294118,0.5101764705882353,0.09973529411764706,22.0,5.0,7.0,34.0
Sygic Truck GPS Navigation,TRAVEL_AND_LOCAL,4.2,18294,28.0,1000000,Free,0.0,Everyone,Travel & Local,"August 2, 2018",13.8.3,4.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moto File Manager,TOOLS,4.1,38655,5.9,10000000,Free,0.0,Everyone,Tools,"February 1, 2018",v3.7.93,5.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motorola Alert,TOOLS,4.2,24199,3.9,50000000,Free,0.0,Everyone,Tools,"November 21, 2014",1.02.53,4.4 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15.0,100000000,Free,0.0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up,0.32235384615384616,0.3358846153846154,0.6047307692307693,0.05942307692307692,17.0,6.0,3.0,26.0
Moto Suggestions ™,TOOLS,4.6,308,4.3,1000000,Free,0.0,Everyone,Tools,"June 8, 2018",0.2.32,8.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myMetro,TOOLS,4.0,26189,5.3,10000000,Free,0.0,Everyone,Tools,"June 27, 2018",MyMetro_HTML_2.0_430029,4.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My Telcel,TOOLS,3.1,45838,16.0,50000000,Free,0.0,Everyone,Tools,"July 25, 2018",7.6.1,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5,10000000,Free,0.0,Everyone,Tools,"July 31, 2018",v8.0.1.8.0629.1,4.2 and up,0.24214999999999998,0.214,0.6905,0.0955,3.0,1.0,0.0,4.0
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,5.8,100000,Free,0.0,Everyone,Tools,"July 6, 2018",8.1.6,4.2 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHAREit - Transfer & Share,TOOLS,4.6,7790693,17.0,500000000,Free,0.0,Everyone,Tools,"July 30, 2018",4.5.28_ww,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5,10000000,Free,0.0,Everyone,Tools,"July 18, 2018",1.0.204375696,5.0 and up,0.5550294117647059,0.26285294117647057,0.6465882352941176,0.09052941176470589,28.0,2.0,4.0,34.0
Nokia mobile support,TOOLS,4.4,12215,9.1,5000000,Free,0.0,Everyone,Tools,"August 1, 2018",1.7.4,7.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File Manager -- Take Command of Your Files Easily,TOOLS,4.2,127223,7.6,10000000,Free,0.0,Everyone,Tools,"August 3, 2018",v7.0.7.1.0625.1_06_0629,5.0 and up,0.23972727272727273,0.25727272727272726,0.662409090909091,0.08027272727272727,11.0,9.0,2.0,22.0
Samsung Calculator,TOOLS,4.4,9602,2.5,100000000,Free,0.0,Everyone,Tools,"July 5, 2018",6.0.61.5,7.0 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear,TOOLS,3.1,24151,15.0,10000000,Free,0.0,Everyone,Tools,"August 6, 2018",11.7.0,4.1 and up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
