App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Compound,Avg_Positive,Avg_Neutral,Avg_Negative,Sentiment,Positive_Count,Neutral_Count,Negative_Count,Total_Reviews
Ringtones & Wallpapers for Me,PERSONALIZATION,4.2,89342,29.0,10000000,Free,0.0,Everyone,Personalization,"January 30, 2018",1.13,4.1 and up,,,,,Unknown,,,,
Zooper Widget,PERSONALIZATION,4.0,30498,5.9,1000000,Free,0.0,Everyone,Personalization,"March 11, 2015",2.60,3.2 and up,,,,,Unknown,,,,
Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14.0,1000000,Paid,2.49,Everyone,Personalization,"August 24, 2016",5.7.8,2.3 and up,0.28985945945945946,0.18510810810810813,0.7124864864864865,0.10240540540540541,Positive,24.0,1.0,12.0,37.0
Beautiful Widgets Free,PERSONALIZATION,3.9,25037,14.0,1000000,Free,0.0,Everyone,Personalization,"October 20, 2016",5.7.6,2.3 and up,-0.07437999999999999,0.12295,0.721425,0.15562499999999999,Negative,17.0,5.0,18.0,40.0
HD Widgets,PERSONALIZATION,4.3,58617,26.0,1000000,Paid,0.99,Everyone,Personalization,"December 7, 2016",4.3.2,4.4 and up,0.32571612903225805,0.184,0.722741935483871,0.09329032258064515,Positive,23.0,0.0,8.0,31.0
DashClock Widget,PERSONALIZATION,4.1,62301,1.9,1000000,Free,0.0,Everyone,Personalization,"May 11, 2016",1.7.2,4.2 and up,-0.5256,0.0,0.805,0.195,Negative,0.0,0.0,1.0,1.0
Fancy Widgets,PERSONALIZATION,4.2,37237,3.9,5000000,Free,0.0,Everyone,Personalization,"April 4, 2014",3.5.6,1.6 and up,0.5642125,0.26125,0.6350625,0.103625,Positive,14.0,0.0,2.0,16.0
Kairo XP (for HD Widgets),PERSONALIZATION,4.4,1591,0.779,10000,Paid,0.99,Everyone,Personalization,"January 7, 2015",1.1,4.0.3 and up,,,,,Unknown,,,,
Best Wallpapers QHD,PERSONALIZATION,4.4,294701,5.1,10000000,Free,0.0,Teen,Personalization,"March 17, 2018",2.85,4.0.3 and up,0.5704742857142857,0.45814285714285713,0.48122857142857145,0.06062857142857143,Positive,28.0,4.0,3.0,35.0
Dog Licks Screen Wallpaper,PERSONALIZATION,4.3,63624,10.0,5000000,Free,0.0,Everyone,Personalization,"November 20, 2017",11.0,4.0.3 and up,0.36057647058823533,0.38111764705882356,0.5436470588235295,0.07526470588235294,Positive,23.0,6.0,5.0,34.0
Waterfall Live Wallpaper,PERSONALIZATION,4.1,112977,13.0,10000000,Free,0.0,Everyone,Personalization,"May 22, 2018",3.6,4.1 and up,,,,,Unknown,,,,
Galaxy Live Wallpaper,PERSONALIZATION,4.2,58052,4.0,5000000,Free,0.0,Teen,Personalization,"September 14, 2017",1.1.8,2.3.3 and up,,,,,Unknown,,,,
Northern Lights FREE (Aurora),PERSONALIZATION,4.1,12180,5.4,1000000,Free,0.0,Everyone,Personalization,"December 24, 2016",1.3,2.1 and up,,,,,Unknown,,,,
Flowers Live Wallpaper,PERSONALIZATION,4.1,118459,3.3,10000000,Free,0.0,Everyone,Personalization,"October 27, 2017",4.0,4.1 and up,0.25164848484848484,0.4327878787878788,0.48103030303030303,0.08618181818181818,Positive,20.0,9.0,4.0,33.0
Petals 3D live wallpaper,PERSONALIZATION,4.2,112479,4.3,10000000,Free,0.0,Everyone,Personalization,"July 25, 2018",3.0.5,4.2 and up,,,,,Unknown,,,,
Galactic Core Free Wallpaper,PERSONALIZATION,4.1,69417,0.853,10000000,Free,0.0,Everyone,Personalization,"May 1, 2014",2.41,2.1 and up,0.5662138888888889,0.3199444444444445,0.5959166666666667,0.08405555555555555,Positive,31.0,0.0,5.0,36.0
LINE Launcher,PERSONALIZATION,4.4,733838,21.0,10000000,Free,0.0,Everyone,Personalization,"June 29, 2018",2.4.25,4.0.3 and up,,,,,Unknown,,,,
Asteroids 3D live wallpaper,PERSONALIZATION,4.1,157495,6.4,10000000,Free,0.0,Everyone,Personalization,"July 24, 2018",4.0.0.7,4.4 and up,0.3777709677419355,0.4333548387096774,0.4786774193548387,0.08793548387096774,Positive,22.0,4.0,5.0,31.0
Sun Rise Free Live Wallpaper,PERSONALIZATION,4.3,86481,8.6,10000000,Free,0.0,Everyone,Personalization,"January 31, 2018",4.8.3,4.0 and up,,,,,Unknown,,,,
Wallpapers HD,PERSONALIZATION,4.6,484981,2.1,10000000,Free,0.0,Everyone,Personalization,"November 28, 2016",1.7.1,3.0 and up,,,,,Unknown,,,,
Tiger Live Wallpaper,PERSONALIZATION,4.1,77724,7.1,5000000,Free,0.0,Teen,Personalization,"May 31, 2018",2.7.2,4.0 and up,,,,,Unknown,,,,
Pink Roses Live Wallpaper,PERSONALIZATION,4.2,33074,3.3,1000000,Free,0.0,Everyone,Personalization,"May 4, 2018",4.1,4.1 and up,,,,,Unknown,,,,
Butterfly Live Wallpaper,PERSONALIZATION,4.1,35771,3.5,5000000,Free,0.0,Everyone,Personalization,"May 4, 2018",4.1,4.1 and up,0.5177785714285714,0.5293571428571429,0.45557142857142857,0.01507142857142857,Positive,21.0,6.0,1.0,28.0
Koi Free Live Wallpaper,PERSONALIZATION,4.2,290241,4.1,50000000,Free,0.0,Everyone,Personalization,"June 24, 2014",1.9,2.1 and up,,,,,Unknown,,,,
Wallpaper,PERSONALIZATION,4.5,69488,9.7,1000000,Free,0.0,Everyone,Personalization,"July 8, 2018",6.07,4.1 and up,,,,,Unknown,,,,
Wolves Live Wallpaper,PERSONALIZATION,4.3,10401,3.3,1000000,Free,0.0,Everyone,Personalization,"October 27, 2017",7.5,4.1 and up,,,,,Unknown,,,,
Horses Live Wallpaper,PERSONALIZATION,4.2,28806,7.1,1000000,Free,0.0,Everyone,Personalization,"May 22, 2018",18.0,4.1 and up,0.35284848484848486,0.4383939393939394,0.5122727272727273,0.049363636363636366,Positive,21.0,8.0,4.0,33.0
Tropical Beach Live Wallpaper,PERSONALIZATION,4.0,11343,8.4,1000000,Free,0.0,Everyone,Personalization,"May 22, 2018",18.0,4.1 and up,,,,,Unknown,,,,
Glowing Flowers Live Wallpaper,PERSONALIZATION,4.2,66730,7.0,5000000,Free,0.0,Everyone,Personalization,"May 21, 2018",18.0,4.1 and up,,,,,Unknown,,,,
Dolphins Live Wallpaper,PERSONALIZATION,4.2,25807,5.5,1000000,Free,0.0,Everyone,Personalization,"October 29, 2017",15.0,4.1 and up,,,,,Unknown,,,,
Buzz Launcher-Smart&Free Theme,PERSONALIZATION,4.4,251616,13.0,10000000,Free,0.0,Everyone,Personalization,"November 13, 2017",1.9.7.07,4.0.3 and up,0.3182,0.23888888888888887,0.6375555555555557,0.12363888888888888,Positive,24.0,1.0,11.0,36.0
BIG Launcher,PERSONALIZATION,4.3,881,5.9,10000,Paid,9.99,Everyone,Personalization,"June 20, 2018",2.5.9,2.1 and up,0.454255,0.267875,0.680825,0.0513,Positive,31.0,6.0,3.0,40.0
"iKeyboard - emoji, emoticons",PERSONALIZATION,4.5,624924,24.0,10000000,Free,0.0,Everyone,Personalization,"August 1, 2018",4.8.2.2195,4.1 and up,,,,,Unknown,,,,
Simple Neon Blue Future Tech Keyboard Theme,PERSONALIZATION,4.1,51145,6.2,10000000,Free,0.0,Everyone,Personalization,"June 28, 2018",1,4.0.3 and up,,,,,Unknown,,,,
TouchPal Purple Butterfly Theme,PERSONALIZATION,4.2,7435,6.9,1000000,Free,0.0,Everyone,Personalization,"June 28, 2018",1,4.0.3 and up,,,,,Unknown,,,,
Lavender Emoji Keyboard Theme,PERSONALIZATION,4.1,12008,6.1,1000000,Free,0.0,Everyone,Personalization,"May 27, 2016",5.0,4.0 and up,,,,,Unknown,,,,
"AVG Cleaner – Speed, Battery & Memory Booster",PRODUCTIVITY,4.4,1188154,24.0,10000000,Free,0.0,Everyone,Productivity,"June 14, 2018",4.6.4,4.1 and up,0.5176514285714285,0.2981714285714286,0.6247428571428572,0.0771142857142857,Positive,28.0,1.0,6.0,35.0
QR Scanner & Barcode Scanner 2018,PRODUCTIVITY,3.8,8226,4.1,10000000,Free,0.0,Everyone,Productivity,"July 20, 2018",1.8.4,4.4 and up,,,,,Unknown,,,,
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50.0,100000000,Free,0.0,Everyone,Productivity,"August 2, 2018",2.2.194,4.4 and up,,,,,Unknown,,,,
My Claro Peru,PRODUCTIVITY,3.2,11200,11.0,5000000,Free,0.0,Everyone,Productivity,"July 23, 2018",3.1.1,4.4 and up,,,,,Unknown,,,,
Power Booster - Junk Cleaner & CPU Cooler & Boost,PRODUCTIVITY,4.5,9653,5.1,1000000,Free,0.0,Everyone,Productivity,"August 6, 2018",1.2.5,4.1 and up,,,,,Unknown,,,,
Google Assistant,PRODUCTIVITY,4.2,58675,1.3,10000000,Free,0.0,Everyone,Productivity,"March 9, 2018",0.1.187945513,5.0 and up,,,,,Unknown,,,,
Archos File Manager,PRODUCTIVITY,4.0,2131,2.3,5000000,Free,0.0,Everyone,Productivity,"April 22, 2016",4.1.4,4.1 and up,0.10255806451612903,0.2573225806451613,0.6298709677419355,0.11283870967741937,Positive,14.0,10.0,7.0,31.0
ES File Explorer File Manager,PRODUCTIVITY,4.6,5383985,16.0,100000000,Free,0.0,Everyone,Productivity,"August 3, 2018",4.1.8.2.2,4.0 and up,,,,,Unknown,,,,
MyMTN,PRODUCTIVITY,4.0,8550,15.0,1000000,Free,0.0,Everyone,Productivity,"July 25, 2018",2.1.5,4.0 and up,,,,,Unknown,,,,
Dropbox,PRODUCTIVITY,4.4,1861310,61.0,500000000,Free,0.0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device,0.29951315789473687,0.26792105263157895,0.6727631578947368,0.059394736842105264,Positive,46.0,20.0,10.0,76.0
ASUS Quick Memo,PRODUCTIVITY,4.5,23089,1.6,10000000,Free,0.0,Everyone,Productivity,"April 11, 2018",1.10.0.33_180403,5.0 - 8.0,0.2049,0.082,0.9179999999999999,0.0,Neutral,1.0,1.0,0.0,2.0
lifebox,PRODUCTIVITY,4.2,56403,49.0,5000000,Free,0.0,Everyone,Productivity,"July 27, 2018",4.0.5,4.4 and up,,,,,Unknown,,,,
Content Transfer,PRODUCTIVITY,4.7,19302,7.2,5000000,Free,0.0,Everyone,Productivity,"June 28, 2018",3.5.12,4.0.3 and up,0.39993249999999997,0.23825,0.702225,0.0595,Positive,26.0,6.0,8.0,40.0
Advanced Task Killer,PRODUCTIVITY,4.4,577059,1.5,50000000,Free,0.0,Everyone,Productivity,"August 7, 2016",2.2.1B216,2.3.3 and up,0.07978666666666666,0.1598,0.711,0.12933333333333333,Positive,10.0,1.0,4.0,15.0
Microsoft Translator,PRODUCTIVITY,4.6,209696,49.0,5000000,Free,0.0,Everyone,Productivity,"June 18, 2018",3.2.258b ae1da5165,4.3 and up,,,,,Unknown,,,,
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",PRODUCTIVITY,4.3,1498393,14.0,50000000,Free,0.0,Everyone,Productivity,"August 2, 2018",4.3.2.0,4.2 and up,,,,,Unknown,,,,
Hacker's Keyboard,PRODUCTIVITY,4.4,41418,1.2,1000000,Free,0.0,Everyone,Productivity,"December 11, 2016",v1.39.3,2.2 and up,0.6151774999999999,0.252975,0.678875,0.06810000000000001,Positive,33.0,1.0,6.0,40.0
Security & Privacy,PRODUCTIVITY,4.0,212,10.0,1000000,Free,0.0,Everyone,Productivity,"April 26, 2018",5.0.44,4.1 and up,,,,,Unknown,,,,
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.4,6011,4.3,500000,Free,0.0,Everyone,Productivity,"December 19, 2015",3.2.1,4.1 and up,0.6118499999999999,0.2715714285714286,0.6443571428571427,0.08421428571428571,Positive,12.0,0.0,2.0,14.0
Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3.8,1000000,Free,0.0,Everyone,Productivity,"May 23, 2018",1.7.9,4.0.3 and up,,,,,Unknown,,,,
Keeper: Free Password Manager & Secure Vault,PRODUCTIVITY,4.2,74146,32.0,10000000,Free,0.0,Everyone,Productivity,"July 16, 2018",12.1.0,4.4 and up,,,,,Unknown,,,,
Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4.5,1000000,Free,0.0,Everyone,Productivity,"October 30, 2017",17.7.20,4.1 and up,,,,,Unknown,,,,
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270,8.4,1000000,Free,0.0,Everyone,Productivity,"March 23, 2018",4.4.1,4.0 and up,,,,,Unknown,,,,
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999,12.0,10000000,Free,0.0,Everyone,Productivity,"August 5, 2018",12.8.2,4.4 and up,,,,,Unknown,,,,
Cozi Family Organizer,PRODUCTIVITY,4.4,56713,25.0,1000000,Free,0.0,Everyone,Productivity,"July 5, 2018",9.3.5776,4.1 and up,,,,,Unknown,,,,
Trello,PRODUCTIVITY,4.5,72513,12.0,5000000,Free,0.0,Everyone,Productivity,"July 18, 2018",5.0.1.11068-production,5.0 and up,,,,,Unknown,,,,
Easy Voice Recorder,PRODUCTIVITY,4.4,205191,7.1,10000000,Free,0.0,Everyone,Productivity,"June 20, 2018",2.4.5,4.1 and up,0.6422102564102564,0.5053846153846154,0.46838461538461534,0.026230769230769228,Positive,36.0,1.0,2.0,39.0
Solid Explorer Classic,PRODUCTIVITY,4.5,49794,6.5,1000000,Free,0.0,Everyone,Productivity,"June 17, 2017",1.7.3,2.3 and up,,,,,Unknown,,,,
File Browser by Astro (File Manager),PRODUCTIVITY,4.3,609182,9.2,50000000,Free,0.0,Everyone,Productivity,"July 2, 2018",6.4.0,4.0 and up,0.2661833333333333,0.19741666666666668,0.74525,0.05741666666666667,Positive,6.0,3.0,3.0,12.0
File Explorer,PRODUCTIVITY,4.1,979,0.72,100000,Free,0.0,Everyone,Productivity,"September 30, 2013",2.1.3,2.2 and up,0.35016956521739134,0.4548695652173913,0.42673913043478257,0.07495652173913044,Positive,17.0,4.0,2.0,23.0
The Maner,PRODUCTIVITY,4.2,53015,2.2,5000000,Free,0.0,Everyone,Productivity,"November 12, 2017",2.2.2,2.3 and up,,,,,Unknown,,,,
Smart File Manager,PRODUCTIVITY,4.2,17415,4.1,1000000,Free,0.0,Everyone,Productivity,"July 5, 2018",3.5.9,4.0 and up,,,,,Unknown,,,,
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60.0,10000000,Free,0.0,Everyone,Productivity,"July 18, 2018",7.3.30,4.1 and up,,,,,Unknown,,,,
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4.5,1508137,37.0,100000000,Free,0.0,Everyone,Productivity,"July 30, 2018",11.1.3,4.0 and up,,,,,Unknown,,,,
Simple Notepad,PRODUCTIVITY,4.3,12321,0.713,1000000,Free,0.0,Everyone,Productivity,"December 25, 2016",2.0.1,2.3 and up,,,,,Unknown,,,,
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,4.7,5000000,Free,0.0,Everyone,Productivity,"March 16, 2018",1.35.2,2.3.3 and up,,,,,Unknown,,,,
Sticky Note + : Sync Notes,PRODUCTIVITY,4.2,21507,6.6,1000000,Free,0.0,Everyone,Productivity,"August 31, 2017",13.4,4.0 and up,,,,,Unknown,,,,
Notepad,PRODUCTIVITY,4.2,80581,2.5,10000000,Free,0.0,Everyone,Productivity,"October 16, 2016",2.4,2.3 and up,,,,,Unknown,,,,
Squid - Take Notes & Markup PDFs,PRODUCTIVITY,4.2,37204,19.0,1000000,Free,0.0,Everyone,Productivity,"July 21, 2018",3.4.4.4-GP,4.0 and up,,,,,Unknown,,,,
Notepad & To do list,PRODUCTIVITY,4.3,226295,4.2,10000000,Free,0.0,Everyone,Productivity,"June 6, 2018",4.3.19,2.3.3 and up,,,,,Unknown,,,,
"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,4.6,57904,11.0,1000000,Free,0.0,Everyone,Productivity,"July 1, 2018",12.8.2-pi,4.2 and up,,,,,Unknown,,,,
Calendar+ Schedule Planner App,PRODUCTIVITY,4.0,8985,5.7,1000000,Free,0.0,Everyone,Productivity,"January 16, 2017",1.07.59,4.0.3 and up,0.9811,0.377,0.623,0.0,Positive,1.0,0.0,0.0,1.0
Today Calendar 2017,PRODUCTIVITY,4.2,16349,9.0,1000000,Free,0.0,Everyone,Productivity,"April 25, 2016",4.0.7.3,4.1 and up,,,,,Unknown,,,,
New Calendar,PRODUCTIVITY,4.5,25985,6.9,1000000,Free,0.0,Everyone,Productivity,"July 20, 2018",1.0.167,4.0.3 and up,,,,,Unknown,,,,
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1.9,5000000,Free,0.0,Everyone,Productivity,"May 31, 2018",1.26.2,4.0.3 and up,0.16225000000000003,0.302,0.5720000000000001,0.126,Negative,1.0,0.0,1.0,2.0
Business Calendar 2,PRODUCTIVITY,4.6,102594,15.0,5000000,Free,0.0,Everyone,Productivity,"July 23, 2018",2.30.1,4.1 and up,0.420872,0.28824,0.65432,0.0574,Positive,18.0,2.0,5.0,25.0
Unclouded - Cloud Manager,PRODUCTIVITY,4.1,6850,11.0,100000,Free,0.0,Everyone,Productivity,"August 8, 2016",2.3.3-play,4.1 and up,,,,,Unknown,,,,
Amazon Drive,PRODUCTIVITY,4.4,18669,4.1,1000000,Free,0.0,Everyone,Productivity,"January 8, 2018",1.9.1.147.0-google,4.2 and up,0.28495000000000004,0.25922222222222224,0.6404166666666666,0.10041666666666667,Positive,23.0,3.0,10.0,36.0
SugarSync,PRODUCTIVITY,4.1,16420,3.8,1000000,Free,0.0,Everyone,Productivity,"May 16, 2018",4.4.0.4,2.3.3 and up,,,,,Unknown,,,,
MediaFire,PRODUCTIVITY,4.1,71432,3.8,5000000,Free,0.0,Everyone,Productivity,"November 1, 2017",4.2.2,4.1 and up,,,,,Unknown,,,,
Baby Names,PARENTING,4.5,86,2.8,10000,Free,0.0,Everyone,Parenting,"August 3, 2018",1.7,4.0.3 and up,,,,,Unknown,,,,
My baby Game (Balloon POP!),PARENTING,3.8,3614,3.3,1000000,Free,0.0,Everyone,Parenting;Brain Games,"May 28, 2018",2.15.2714,4.0 and up,,,,,Unknown,,,,
Development of the child up to a year,PARENTING,4.6,1413,14.0,100000,Free,0.0,Mature 17+,Parenting,"July 20, 2018",2.9.9,4.1 and up,,,,,Unknown,,,,
Favorite children's songs,PARENTING,4.7,39,95.0,10000,Free,0.0,Everyone,Parenting,"July 6, 2018",1.2.5,4.2 and up,,,,,Unknown,,,,
Baby Panda Learns Shapes,PARENTING,4.0,3789,42.0,1000000,Free,0.0,Everyone,Parenting;Education,"June 21, 2018",8.25.10.00,4.0.3 and up,0.3884081081081081,0.4151621621621622,0.5578648648648649,0.02697297297297297,Positive,25.0,9.0,3.0,37.0
Mozart Baby Sleep,PARENTING,4.7,107,98.0,50000,Free,0.0,Teen,Parenting,"July 9, 2018",1.4.0,4.2 and up,,,,,Unknown,,,,
Kids Videos,PARENTING,4.1,559,6.4,100000,Free,0.0,Everyone,Parenting,"May 20, 2018",1.3.1,4.1 and up,,,,,Unknown,,,,
My baby firework,PARENTING,3.7,4976,2.8,1000000,Free,0.0,Everyone,Parenting;Education,"May 28, 2018",2.04.2714,4.0 and up,,,,,Unknown,,,,
Baby Food - Homemade Recipes,PARENTING,4.1,44,3.6,10000,Free,0.0,Everyone,Parenting,"August 7, 2018",8.2,4.0.3 and up,,,,,Unknown,,,,
My baby Phone,PARENTING,3.7,9293,2.4,1000000,Free,0.0,Everyone,Parenting,"May 28, 2018",2.03.2714,4.0 and up,,,,,Unknown,,,,
Baby Sleep: White noise lullabies for newborns,PARENTING,4.6,62386,3.4,1000000,Free,0.0,Everyone,Parenting,"June 12, 2018",2.7,4.0 and up,,,,,Unknown,,,,
Arabic Chat - Chat,PARENTING,4.4,162,1.5,10000,Free,0.0,Everyone,Parenting,"May 1, 2018",1.0,4.1 and up,,,,,Unknown,,,,
BookBaby - Baby Development,PARENTING,4.6,1002,5.0,50000,Free,0.0,Everyone,Parenting,"August 18, 2016",3.0,4.0.3 and up,,,,,Unknown,,,,
Kids Craft Ideas,PARENTING,4.1,99,6.6,10000,Free,0.0,Everyone,Parenting,"March 29, 2018",1.1,4.1 and up,,,,,Unknown,,,,
How do I take care of my child?,PARENTING,4.8,190,6.8,100000,Free,0.0,Everyone,Parenting,"June 24, 2018",1.5,4.0 and up,,,,,Unknown,,,,
Baby Name Together,PARENTING,4.0,464,24.0,100000,Free,0.0,Everyone,Parenting,"August 6, 2018",2.3.1,5.0 and up,0.3457810810810811,0.4231891891891892,0.46078378378378376,0.11602702702702702,Positive,24.0,7.0,6.0,37.0
White Noise for Baby,PARENTING,4.9,717,6.6,100000,Free,0.0,Everyone,Parenting,"December 30, 2017",1.6.0,4.1 and up,,,,,Unknown,,,,
The first year of a baby's life,PARENTING,4.8,7505,9.1,100000,Free,0.0,Everyone,Parenting,"January 7, 2017",1.1.27.477-free,2.3 and up,,,,,Unknown,,,,
Safe365 – Cell Phone GPS Locator For Your Family,PARENTING,4.4,11501,11.0,1000000,Free,0.0,Everyone,Parenting,"July 30, 2018",3.7.1,4.0.3 and up,,,,,Unknown,,,,
Listen to the story~The Story of the Fairy Tales,PARENTING,4.7,69,5.8,5000,Free,0.0,Everyone,Parenting,"July 10, 2018",1.0.6,4.0.3 and up,,,,,Unknown,,,,
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",PARENTING,4.2,2715,24.0,500000,Free,0.0,Everyone,Parenting;Music & Video,"July 24, 2018",FreeTimeApp-aosp_v3.14_Build-1.0.204367.0.13014,5.0 and up,0.5751028571428571,0.4003142857142857,0.5128285714285715,0.08688571428571429,Positive,30.0,3.0,2.0,35.0
"Kids Fang - Infant Videos, Children's Songs, Fairy Tales, Lullaby Collections",PARENTING,4.6,349,4.4,100000,Free,0.0,Everyone,Parenting,"March 21, 2018",1.7,4.4 and up,,,,,Unknown,,,,
PPS Online,PARENTING,4.6,37,16.0,10000,Free,0.0,Everyone,Parenting,"July 9, 2018",3.19,4.0.3 and up,,,,,Unknown,,,,
Johny Johny Yes Papa Nursery Rhyme - offline Video,PARENTING,4.5,806,11.0,500000,Free,0.0,Everyone,Parenting,"August 4, 2018",4.2,4.0.3 and up,,,,,Unknown,,,,
Latest Emmanuella Comedy Video,PARENTING,4.6,60,4.9,10000,Free,0.0,Everyone,Parenting,"April 1, 2018",Natalia Studio Development,4.0.3 and up,,,,,Unknown,,,,
Baby Care & Tracker,PARENTING,4.1,319,11.0,100000,Free,0.0,Everyone,Parenting,"July 12, 2018",5.3,4.0.3 and up,,,,,Unknown,,,,
Urban Limo Taxi Simulator,PARENTING,3.8,824,53.0,1000000,Free,0.0,Everyone,Parenting,"August 2, 2018",8.9,4.0.3 and up,,,,,Unknown,,,,
Rainbow - Journal & Activities,PARENTING,4.8,6668,20.0,100000,Free,0.0,Everyone,Parenting,"March 28, 2018",2.5.9,4.1 and up,,,,,Unknown,,,,
Classical music for baby,PARENTING,4.8,1940,38.0,100000,Free,0.0,Everyone,Parenting;Music & Video,"July 18, 2018",1.04,4.2 and up,,,,,Unknown,,,,
My Child from eDziecko.pl,PARENTING,4.5,1025,17.0,100000,Free,0.0,Everyone,Parenting,"June 29, 2018",1.3.9,4.1 and up,,,,,Unknown,,,,
Baby Panda Musical Genius,PARENTING,4.0,3346,37.0,1000000,Free,0.0,Everyone,Parenting;Music & Video,"June 15, 2018",8.25.10.00,4.0.3 and up,0.2787972972972973,0.3717027027027027,0.5622702702702702,0.066,Positive,21.0,10.0,6.0,37.0
Baby Monitor,PARENTING,4.4,5343,5.2,1000000,Free,0.0,Everyone,Parenting,"March 30, 2018",2.1.1,4.1 and up,0.4386514285714286,0.2864857142857143,0.643,0.07054285714285714,Positive,26.0,3.0,6.0,35.0
Daniel Tiger for Parents,PARENTING,4.7,247,28.0,100000,Free,0.0,Everyone,Parenting;Music & Video,"March 19, 2018",1.3.0,4.4 and up,0.8919333333333332,0.4446666666666667,0.5553333333333333,0.0,Positive,3.0,0.0,0.0,3.0
Vegetable Fun,PARENTING,3.9,3182,46.0,1000000,Free,0.0,Everyone,Parenting;Education,"June 15, 2018",8.25.10.00,4.0.3 and up,,,,,Unknown,,,,
It's open.,PARENTING,4.4,1528,16.0,100000,Free,0.0,Everyone,Parenting,"July 24, 2018",8.1.2,4.4 and up,,,,,Unknown,,,,
Children's Stories 2018 - The Lion Come Lion,PARENTING,4.4,39,18.0,10000,Free,0.0,Everyone,Parenting;Music & Video,"October 31, 2017",1.2,4.0 and up,,,,,Unknown,,,,
Feed Baby - Baby Tracker,PARENTING,4.5,76795,18.0,1000000,Free,0.0,Everyone,Parenting,"August 1, 2018",2.0.6,4.1 and up,,,,,Unknown,,,,
Weather forecast,WEATHER,4.8,159455,10.0,1000000,Free,0.0,Everyone,Weather,"May 8, 2018",1.11.93,4.4 and up,,,,,Unknown,,,,
Live Weather Pro,WEATHER,4.8,892,17.0,10000,Free,0.0,Everyone,Weather,"July 17, 2018",1.1,4.4 and up,,,,,Unknown,,,,
weather - weather forecast,WEATHER,4.7,11118,9.7,1000000,Free,0.0,Everyone,Weather,"April 26, 2018",30,4.0 and up,,,,,Unknown,,,,
Free live weather on screen,WEATHER,4.4,15370,21.0,1000000,Free,0.0,Everyone,Weather,"August 2, 2018",12.2.6.3660,4.1 and up,0.47197631578947363,0.6358947368421053,0.33144736842105266,0.03265789473684211,Positive,33.0,3.0,2.0,38.0
Weather Radar Widget,WEATHER,4.3,18194,3.2,1000000,Free,0.0,Everyone,Weather,"June 28, 2017",1.7.7,3.0 and up,,,,,Unknown,,,,
Weather –Simple weather forecast,WEATHER,4.4,40606,15.0,10000000,Free,0.0,Everyone,Weather,"August 5, 2018",v7.0.02.3.0516.1_06_0713,5.0 and up,,,,,Unknown,,,,
Weather Crave,WEATHER,4.2,133338,44.0,5000000,Free,0.0,Everyone,Weather,"June 26, 2018",6.1.3,4.1 and up,,,,,Unknown,,,,
Klara weather,WEATHER,4.6,36900,4.8,500000,Free,0.0,Everyone,Weather,"July 28, 2018",1.3.6,4.0 and up,,,,,Unknown,,,,
Real time Weather Forecast,WEATHER,4.4,4184,10.0,1000000,Free,0.0,Everyone,Weather,"March 26, 2018",7.1.12.12,5.0 and up,,,,,Unknown,,,,
METEO FRANCE,WEATHER,3.9,100994,54.0,5000000,Free,0.0,Everyone,Weather,"July 13, 2018",5.9.7,4.1 and up,,,,,Unknown,,,,
APE Weather ( Live Forecast),WEATHER,4.3,20008,9.1,5000000,Free,0.0,Everyone,Weather,"July 3, 2018",7.1.34.28,5.0 and up,0.41193939393939394,0.642060606060606,0.3483030303030303,0.009636363636363637,Positive,27.0,5.0,1.0,33.0
Live Weather & Daily Local Weather Forecast,WEATHER,4.5,13426,19.0,1000000,Free,0.0,Everyone,Weather,"July 17, 2018",9.9.1.1910,4.1 and up,,,,,Unknown,,,,
Weather,WEATHER,4.2,18773,12.0,10000000,Free,0.0,Everyone,Weather,"May 24, 2018",1.3.A.2.9,4.4 and up,,,,,Unknown,,,,
Klart.se - Sweden's best weather,WEATHER,3.6,7623,19.0,1000000,Free,0.0,Everyone,Weather,"July 11, 2018",3.18.5,4.4 and up,,,,,Unknown,,,,
Info BMKG,WEATHER,4.3,21404,7.6,1000000,Free,0.0,Everyone,Weather,"June 15, 2017",2.2,4.4 and up,,,,,Unknown,,,,
wetter.com - Weather and Radar,WEATHER,4.2,189313,38.0,10000000,Free,0.0,Everyone,Weather,"August 6, 2018",Varies with device,Varies with device,,,,,Unknown,,,,
